model,RMSE,MAE,Precision@10,Recall@10
CF_SVD,0.8732595395633489,0.6680720298238061,0.7288283892792088,0.6589539889440293
CBF_only,1.4740024111291756,1.2070906899221028,0.6745660941972417,0.635296427578095
Hybrid,0.8910657809107136,0.7036786070029568,0.7307956023939631,0.6602053930193198
